num_nodes,num_keys,checkpoint,checkpoint_scan,checkpoint_network,checkpoint_verify,checkpoint_update
100,100000000,1680.0355,187.8075,841.4989,146.29851,501.5958
100,100000000,1679.6522,171.93604,878.6636,145.96866,479.8696
100,100000000,1679.5349,210.92462,811.88635,148.18227,505.10883
100,100000000,1679.6361,169.65834,834.1678,147.4663,525.56494
100,100000000,1680.1344,190.22537,854.4279,145.26672,487.10797
100,100000000,1680.0823,198.12456,811.9717,155.03003,509.25784
100,100000000,1680.8068,208.79713,811.87555,144.83578,512.2447
100,100000000,1680.632,207.39555,822.4738,146.95425,500.64136
100,100000000,1680.236,176.21881,849.8674,146.35545,505.05673

70,100000000,1411.2657,210.17015,851.6769,138.64404,206.69203
70,100000000,1412.2439,237.88327,831.99506,137.71982,197.664
70,100000000,1413.9487,276.49963,759.38586,143.31873,227.78677
70,100000000,1415.1582,281.1791,770.8632,140.23607,215.76328
70,100000000,1413.6986,279.66028,740.72345,143.89438,242.3939
70,100000000,1415.1877,174.14687,866.4063,139.10396,228.25577
70,100000000,1415.9542,275.0181,749.1642,142.87791,241.80492
70,100000000,1416.1149,231.59976,805.61914,141.34853,230.60143
70,100000000,1415.5208,267.4228,794.67926,138.03712,211.35634
70,100000000,1416.7043,238.95653,806.5679,141.57527,222.5685
70,100000000,1417.0471,266.99454,762.63947,143.36665,237.29007
70,100000000,1416.6783,184.37473,852.81793,140.17494,232.00299
70,100000000,1416.368,268.85184,767.5668,140.97794,232.1863
70,100000000,1417.0615,210.20949,819.1957,143.12703,241.1355
70,100000000,1417.4324,269.9501,760.74615,142.88246,237.04366
70,100000000,1417.2185,178.4034,866.9588,140.96307,227.24461
70,100000000,1416.9836,263.07773,766.4564,142.5224,241.21112
70,100000000,1417.3982,266.1704,757.6604,142.88383,247.08626
70,100000000,1417.8639,209.62573,832.3224,140.78578,231.90065
70,100000000,1417.7799,226.31567,830.7186,138.79462,217.96152
70,100000000,1418.089,266.20526,775.0327,141.479,231.599
70,100000000,1418.5374,235.77502,814.03253,141.25404,220.54587
70,100000000,1417.0887,233.71404,792.60315,143.4404,243.74731
70,100000000,1417.645,234.9708,792.029,142.37372,244.91153
70,100000000,1417.9045,257.39233,775.8365,139.29182,241.57494
70,100000000,1418.1532,232.70361,805.58716,142.28096,234.21375
70,100000000,1417.8975,229.18663,805.81085,143.7733,235.84254
70,100000000,1418.9954,244.19034,795.3359,141.27765,231.20212
70,100000000,1418.8633,250.20273,769.3392,142.35379,250.4619
70,100000000,1420.446,273.59604,650.7496,150.14015,338.02252
70,100000000,1420.7769,299.9087,621.217,149.29779,341.7063
70,100000000,1419.3829,280.63028,672.9702,147.63649,309.85748
70,100000000,1420.8572,259.02545,637.063,146.28043,374.37616
70,100000000,1421.3075,288.55658,623.73004,148.99895,351.15347
70,100000000,1421.0735,274.13388,619.03503,147.38644,376.40137
70,100000000,1420.3998,268.84137,619.1634,146.7845,378.0679
70,100000000,1421.5663,263.4069,668.2348,143.83226,341.341
70,100000000,1421.728,316.8294,575.6775,148.49962,376.4426
70,100000000,1422.4312,279.3803,635.48956,147.29909,355.91553
70,100000000,1421.8868,277.86832,634.3442,147.7258,357.6263
70,100000000,1422.772,250.06674,638.33264,147.26747,382.8426
70,100000000,1423.0079,315.9036,563.4569,144.66753,394.5307
70,100000000,1422.3224,272.24213,615.1314,148.20174,382.56793
70,100000000,1423.3733,290.52814,607.98566,145.98589,374.76648
